image_id,RMSE,MAE,AbsRel,SqRel,δ<1.25,δ<1.25²,δ<1.25³,scale
image_0011,1.4993,1.2494,0.4972,0.7046,18.97,61.34,93.51,1.4778
image_0142,0.228,0.1399,0.0964,0.0289,92.45,98.59,99.26,1.0511
image_0314,0.4221,0.2744,0.0753,0.0427,96.63,98.62,99.4,1.0016
image_0525,0.2204,0.1781,0.0632,0.0167,98.04,100.0,100.0,0.9892
image_0780,0.6864,0.3946,0.1219,0.1146,82.58,96.44,97.6,1.0395
image_1290,0.8004,0.5537,0.139,0.1304,82.47,96.28,98.32,0.9634
image_0654,0.2931,0.2256,0.2088,0.0714,57.55,94.42,99.8,1.1145
image_0921,0.5167,0.2579,0.1074,0.0731,83.23,95.78,99.19,1.0499
image_1067,0.2022,0.1595,0.0909,0.0237,90.08,99.8,100.0,1.0377
image_0105,2.2728,1.374,0.3621,1.0739,49.95,73.73,92.47,1.2482
image_0676,0.1075,0.0777,0.0609,0.009,97.12,99.61,100.0,1.0086
image_0836,0.798,0.5038,0.1518,0.1585,74.29,94.18,99.19,1.0068
image_0370,0.6444,0.4572,0.1504,0.1169,81.28,96.39,97.79,0.9746
image_0394,0.2876,0.1998,0.0892,0.0335,93.1,98.91,99.47,1.0157
image_0619,0.4392,0.3032,0.1339,0.0766,79.21,98.7,100.0,1.0831
image_0432,0.3333,0.2237,0.0698,0.0329,94.35,99.54,100.0,1.0154
image_1355,0.4458,0.3434,0.1406,0.0809,71.67,99.48,100.0,1.0648
image_1412,0.4776,0.3104,0.1446,0.1093,81.51,92.47,99.77,1.085
image_0431,0.7741,0.5951,0.2259,0.1937,56.95,93.82,98.01,1.1001
image_0441,0.4604,0.2838,0.0855,0.0517,94.72,98.07,100.0,1.0141
image_0447,0.1836,0.1099,0.0677,0.0171,96.48,98.69,99.96,1.0378
