image_id,RMSE,MAE,AbsRel,SqRel,δ<1.25,δ<1.25²,δ<1.25³,scale
image_0011,0.6944,0.4003,0.1312,0.1138,88.27,96.37,97.87,1.0808
image_0142,0.236,0.1209,0.0778,0.0298,92.94,97.79,99.13,1.0442
image_0314,0.3863,0.1734,0.0452,0.0353,95.68,98.52,99.19,1.0095
image_0525,0.155,0.0809,0.03,0.0093,97.11,100.0,100.0,0.9928
image_0780,0.8364,0.4054,0.1125,0.1629,85.33,93.2,97.29,1.0357
image_1290,0.563,0.2792,0.0726,0.069,92.66,96.35,98.32,1.0042
image_0654,0.234,0.1782,0.1529,0.0396,90.03,96.03,98.88,1.1272
image_0921,0.454,0.1851,0.0699,0.0539,90.82,95.82,97.59,1.0187
image_1067,0.1594,0.0921,0.0502,0.0137,95.01,98.69,100.0,1.0213
image_0105,1.6215,0.8477,0.1864,0.517,75.03,89.88,95.66,1.0336
image_0676,0.0812,0.0418,0.0371,0.0055,97.65,99.83,100.0,1.003
image_0836,0.7414,0.3963,0.1116,0.1222,78.72,94.07,99.42,0.9924
image_0370,0.5247,0.282,0.0961,0.0838,88.28,95.76,97.53,0.9623
image_0394,0.2633,0.1243,0.0515,0.0262,93.36,98.53,99.39,1.0015
image_0619,0.546,0.2758,0.1055,0.1052,82.7,94.53,99.18,1.0043
image_0432,0.3511,0.1871,0.0512,0.0323,93.39,98.21,99.85,1.0183
image_1355,0.5153,0.4203,0.1455,0.0877,84.18,94.48,99.52,1.1079
image_1412,0.5061,0.2538,0.108,0.1085,88.5,93.74,98.65,0.995
image_0431,0.7985,0.4929,0.167,0.1769,81.14,93.27,97.06,1.1009
image_0441,0.339,0.1903,0.0572,0.0313,94.59,98.66,100.0,0.9806
image_0447,0.1865,0.0887,0.0487,0.0159,95.51,98.53,99.56,1.0269
